Sample	Unassigned;Other	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__Parvarchaeota	k__Bacteria;Other	k__Bacteria;p__	k__Bacteria;p__AC1	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__AncK6	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Caldiserica	k__Bacteria;p__Caldithrix	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__KSB3	k__Bacteria;p__LCP-89	k__Bacteria;p__LD1	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVS-104	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OD1	k__Bacteria;p__OP1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OP8	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__TPD-58	k__Bacteria;p__VHS-B3-43	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS4	k__Bacteria;p__WS5	k__Bacteria;p__WWE1	k__Bacteria;p__Caldithrix
X16SBV152	0.104243743	0.138492927	0.011806311	0.000707291	0.000136017	0.000244831	0.001088139	0.0000272	0.094749728	0.10054407	0	0.00116975	0	0.000979325	0.006528836	0.0000544	0	0.000108814	0.007807399	0.066539717	0.001387378	0.001849837	0	0.0000544	0.000326442	0.010636561	0	0.000244831	0	0.001414581	0.000516866	0.006556039	0.0000816	0.000244831	0.0000816	0.000108814	0.000136017	0.002094668	0.000190424	0.079815016	0.0000544	0	0.000924918	0.0031284	0.003754081	0.0000544	0.040016322	0.284902067	0.001985854	0.000734494	0.011479869	0.001632209	0	0.000136017	0.0000544	0.002094668	0.000299238	0.000353645	0.000326442	0.006773667	0.000217628	0	0.0000816	0.0000272
X16SBV252	0.20886968	0.211030724	0.016160857	0.000845626	0.000094	0.000375834	0.001409377	0	0.054871747	0.030066711	0	0.000845626	0.000094	0.000939585	0.00310063	0	0	0	0.006952927	0.112280372	0.000187917	0.000939585	0	0	0.000469792	0.007704595	0	0.000094	0	0.004603965	0.000281875	0.001691252	0.000094	0.000094	0.000375834	0.000094	0.000094	0.003382505	0.000469792	0.078173447	0	0	0.000094	0.00310063	0.008738138	0	0.018979611	0.194587992	0.000281875	0.002255003	0.015409189	0.000187917	0	0.000094	0	0.001973128	0.000187917	0.000751668	0.000281875	0.006201259	0.000187917	0	0	0
X16SBV352	0.164100936	0.175230122	0.00559435	0.000198381	0.0000992	0.000872877	0.00168624	0	0.023587526	0.007201238	0	0.000773687	0.0000397	0.00031741	0.005098397	0	0	0.0000397	0.006983019	0.182193303	0.0000794	0.001249802	0	0.0000198	0.001011744	0.028646247	0.000238057	0.000119029	0.0000397	0.002202031	0.000476115	0.001091097	0.0000397	0.0000992	0.0000595	0	0.0000198	0.002023488	0.0000397	0.028011427	0.0000198	0.0000992	0.000396762	0.00232106	0.007340105	0.000119029	0.020611808	0.303543088	0	0.002122679	0.013489922	0.0000397	0	0.0000397	0.0000992	0.003848595	0	0.000456277	0.000297572	0.005395969	0.000138867	0	0	0.000138867
X16SBV452	0.108945758	0.117614252	0.006357958	0.00057365	0.000286825	0.000557716	0.002135254	0	0.087577283	0.086700873	0.0000159	0.001513799	0.0000478	0.000956084	0.007935496	0.0000319	0.0000159	0.000239021	0.0121582	0.113678373	0.001450061	0.002979795	0	0.000127478	0.000987953	0.007616802	0	0.000318695	0.0000478	0.002740774	0.000732998	0.007616802	0.0000478	0.000175282	0.000254956	0.000111543	0.0000478	0.003186946	0.000366499	0.073411307	0.0000159	0.0000319	0.000509911	0.00565683	0.009210275	0.000159347	0.039358786	0.256103002	0.000987953	0.002071515	0.01394289	0.001035758	0.0000319	0.00030276	0.0000319	0.008907515	0.000366499	0.000972019	0.000541781	0.00976799	0.000191217	0.0000319	0.000175282	0.0000319
X16SBV752	0.140803562	0.132592917	0.009343148	0.000553382	0.000308864	0.000476166	0.001994749	0	0.087807577	0.055042211	0	0.001454237	0	0.001016679	0.009201586	0.0000129	0	0.000295995	0.010321219	0.097536806	0.001570061	0.002342222	0.0000129	0.00019304	0.000939463	0.01029548	0	0.000141563	0.0000386	0.002818388	0.000553382	0.006396067	0.0000901	0.000141563	0.000321734	0.0000515	0.000102955	0.002921343	0.00059199	0.078026871	0.0000386	0.0000386	0.000656337	0.004890353	0.009060023	0.0000901	0.033704829	0.262315968	0.001222588	0.001866056	0.012019973	0.001531453	0.0000257	0.00020591	0.0000129	0.003448986	0.000360342	0.000810769	0.000540513	0.010372696	0.000257387	0.0000257	0.000141563	0.0000515
X16SBV652	0.24954286	0.244694409	0.006926359	0.0000831	0.000110822	0.000526403	0.001385272	0	0.02767773	0.016761789	0	0.00066493	0.0000277	0.000748047	0.003407769	0	0	0.0000277	0.008367042	0.127084834	0.000138527	0.00127445	0	0	0.00030476	0.011303818	0	0.000110822	0	0.001828559	0.000221643	0.001080512	0.0000554	0.000138527	0.000110822	0.0000554	0.0000554	0.002604311	0.000193938	0.022081232	0.000110822	0.0000277	0.000166233	0.004377459	0.009890841	0.0000277	0.016179975	0.22253006	0	0.00224414	0.007535879	0.000277054	0	0.000249349	0.0000277	0.00224414	0.0000831	0.000803458	0.00030476	0.003130714	0.000193938	0	0	0
X16SQU552	0.230045239	0.259597135	0.000584993	0.000116999	0.0000292	0.000103999	0.000282747	0.000142998	0.287004056	0.008209401	0	0.00080274	0	0.000181998	0.000945739	0	0	0.0000422	0.005235687	0.009057641	0.000471244	0.003961702	0.00000975	0.000113749	0.000737741	0.004442697	0	0.001189486	0	0	0.00000325	0.001033488	0	0	0	0.0000065	0	0.002976964	0.0000357	0.005970178	0	0	0	0.001325984	0.001134236	0	0.01913577	0.134772633	0	0.000155998	0.012057355	0.000191748	0.00000325	0.0000162	0	0.006811918	0.000783241	0.000142998	0.00000325	0.0000552	0.0000747	0	0	0
X16SQU452	0.106005364	0.193260915	0.00076084	0.0000979	0.000158194	0.000120529	0.0000377	0.00048965	0.064686474	0.049002622	0	0.000143128	0.0000151	0.0000904	0.001581945	0	0	0.0000377	0.001845602	0.003962395	0.000572513	0.001212824	0.00000753	0.000263657	0.000248591	0.083564347	0	0.000911501	0	0	0.0000151	0.001009431	0	0.00000753	0	0	0	0.001890801	0.0000301	0.006222316	0.0000151	0	0	0.000587579	0.0000151	0	0.023066261	0.444827794	0.0000452	0.000112996	0.006146985	0.001634676	0.0000226	0.00000753	0	0.003442613	0.001574412	0.0000678	0	0.000105463	0.0000753	0	0	0
X16SBV52	0.032028008	0.029693983	0.029823651	0.000129668	0.000259336	0	0.000907676	0	0.09906639	0.118127593	0	0.000518672	0	0.000778008	0.008169087	0	0	0.000129668	0.005575726	0.054330913	0.001685685	0.001685685	0	0	0.000259336	0.167271784	0.005835062	0.000518672	0	0.00064834	0.000518672	0.007391079	0	0	0.000129668	0	0	0.00064834	0	0.051478216	0	0	0.000518672	0.000518672	0.001167012	0	0.059258299	0.298884855	0.001167012	0.000389004	0.005186722	0.000778008	0	0.000259336	0	0.004797718	0.000389004	0.000778008	0.000259336	0.007261411	0.000259336	0	0.000518672	0
X16SQU252	0.16741665	0.306691893	0.004414672	0.000153406	0.000511352	0.000136361	0.0000852	0.000886343	0.136343492	0.02532897	0	0.000255676	0	0.000255676	0.001142019	0	0	0.0000852	0.004261267	0.005539647	0.000903389	0.002641985	0	0.000289766	0.000698848	0.07608918	0	0.002352219	0	0	0	0.001465876	0	0	0	0	0	0.002369264	0.0000341	0.017403014	0.0000852	0	0	0.001926093	0	0	0.019022295	0.19416036	0.0000341	0.000187496	0.01658485	0.002829481	0.000017	0	0	0.004056726	0.002880616	0.0000511	0	0.000289766	0.000119315	0	0	0
